"ID","Name","§130 StGB - Goldstandard","Result - Vanilla GPT-4o","Result - Vanilla GPT-o1","Result - Vanilla Deepseek V3","Result - Vanilla GPT OSS120b","Result - Vanilla Mistral Large","Result - Vanilla GPT5-mini","Result - CoT GPT 4o","Result - CoT GPT o1","Result - CoT Deepseek V3","Result - CoT GPT  OSS120b","Result - CoT Mistral Large","Result - CoT GPT5-mini","Result - RuleAI Deepseek V3","Result - RuleAI GPT OSS120b","Result RuleAI GPT5-mini","Result - RuleAI Mistral Large","Result - RuleAI GPT-4o","Result - RuleAI GPT-o1"
"852341","14_50096","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852342","15_50171","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852343","16_50049","0.5","n","y","y","y","n","y","y","y","y","y","n","y","Y","N","N","Y","N","N"
"852344","17_50165","0","n","n","y","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852345","18_50772","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852346","19_50552","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852347","20_30145","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852348","21_30107","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852349","22_10065","0","y","y","y","y","y","n","y","n","y","y","y","y","N","N","N","N","N","N"
"852350","23_50903","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852351","24_60002","0.5","y","y","y","y","n","y","y","y","y","y","n","y","Y","N","N","Y","N","N"
"852352","25_50167","0","n","y","y","n","n","n","y","y","n","n","n","n","N","N","N","N","N","N"
"852353","26_50799","0.5","y","y","y","y","y","y","y","y","y","n","n","y","N","N","N","N","N","N"
"852354","27_50859","0","y","y","y","y","y","y","y","y","y","y","n","y","N","N","N","N","N","N"
"852355","28_50115","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852356","29_30182","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852357","30_50789","0","n","n","y","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852358","31_50111","0","n","n","y","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852359","32_50166","0","y","y","y","y","y","y","y","y","y","y","n","y","Y","N","N","Y","Y","Y"
"852360","33_60011","1","y","y","y","y","y","y","y","y","y","y","y","y","Y","N","N","N","Y","Y"
"852361","34_20079","0.5","y","y","y","y","y","y","y","y","y","y","n","y","Y","N","N","N","N","Y"
"852362","35_60069","1","y","y","y","y","y","y","y","y","y","y","y","y","Y","N","N","Y","Y","Y"
"852363","36_20028","1","y","y","y","y","y","y","y","y","y","y","y","y","Y","Y","N","Y","Y","Y"
"852364","37_60044","1","y","y","y","y","y","y","y","y","y","y","y","y","Y","Y","N","Y","Y","Y"
"852365","38_60041","0.5","n","n","y","n","n","n","y","y","n","y","n","y","N","N","N","N","N","N"
"852366","39_60034","1","y","y","y","y","y","y","y","y","y","y","y","y","Y","Y","N","Y","Y","Y"
"852367","40_50813","0","n","n","y","y","y","y","n","n","y","n","n","n","Y","N","N","N","N","N"
"852368","41_50561","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852369","42_30230","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852370","43_50810","0.5","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852371","44_30132","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852372","45_30056","0.5","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852373","46_50158","0.5","n","y","y","n","n","y","n","y","y","y","n","y","N","N","N","N","N","N"
"852374","47_50160","0","y","y","y","n","n","y","y","y","y","n","n","y","Y","N","N","Y","Y","N"
"852375","48_30221","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852376","49_60061","0","y","y","y","y","y","y","y","y","y","y","y","y","N","N","N","N","N","N"
"852377","50_30128","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852378","51_30133","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852379","52_50797","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852380","53_50150","0","n","n","y","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852381","54_30248","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852382","55_10102","1","y","y","y","y","y","y","y","y","y","y","y","y","Y","N","N","Y","Y","Y"
"852383","56_50837","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852384","57_50093","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852385","58_30188","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852386","59_30038","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852387","60_30043","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852388","61_50492","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852389","62_50194","0","n","y","y","n","n","y","n","y","n","n","n","n","N","N","N","N","N","N"
"852390","63_30077","0","n","n","n","y","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852391","64_50185","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852392","65_60030","0.5","y","y","y","n","y","n","y","y","n","n","n","y","N","N","N","N","N","N"
"852393","66_10056","0","y","y","y","n","y","y","y","y","y","n","n","y","N","N","N","N","N","N"
"852394","67_50909","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852395","68_50779","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852396","69_10047","0","y","y","y","y","y","y","y","y","y","n","y","y","Y","N","N","N","N","N"
"852397","70_30040","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852398","71_30034","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852399","72_20009","0","n","n","y","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852400","73_50509","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852401","74_50039","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852402","75_30115","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852403","76_50099","0","y","y","y","y","y","n","y","n","y","n","n","y","Y","N","N","N","N","N"
"852404","77_10079","0","y","y","y","y","y","y","y","y","y","y","y","y","Y","N","N","N","N","N"
"852405","78_10057","0","y","y","y","y","y","y","y","n","y","n","n","y","Y","N","N","N","N","N"
"852406","79_50026","0","n","n","y","n","n","y","n","n","n","n","n","y","N","N","N","N","N","N"
"852407","80_50853","0","n","n","n","n","n","n","y","n","n","n","n","n","N","N","N","N","N","N"
"852408","81_50528","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852409","82_50018","1","n","y","y","y","n","y","n","y","n","y","n","y","Y","Y","N","Y","N","N"
"852410","83_10156","0","y","y","n","y","n","y","y","y","n","y","n","y","N","N","N","N","N","N"
"852411","84_20039","0","y","y","y","y","y","y","y","y","y","y","n","y","N","N","N","N","N","N"
"852412","85_10140","0","n","n","n","n","n","y","n","y","n","n","n","y","N","N","N","N","N","N"
"852413","86_50008","0","n","n","y","n","y","n","n","n","n","n","y","n","N","N","N","N","N","N"
"852414","87_10037","1","y","y","y","y","y","y","y","y","y","y","y","y","Y","Y","N","Y","Y","Y"
"852415","88_30170","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852416","89_30082","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852417","90_30068","0","n","y","n","y","n","y","n","y","n","y","n","y","N","N","N","N","N","N"
"852418","91_50154","0","n","n","n","y","n","y","n","n","n","y","n","y","N","N","N","N","N","N"
"852419","92_60020","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852420","93_50816","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852421","94_10139","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852422","95_50828","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852423","96_30105","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852424","97_50067","0.5","n","y","n","n","n","n","n","n","n","n","n","y","N","N","N","N","N","N"
"852425","98_10113","0","y","y","y","y","y","y","y","y","y","y","n","y","Y","N","N","N","Y","Y"
"852426","99_50015","1","y","y","y","y","y","y","y","y","y","y","y","y","Y","N","N","Y","N","N"
"852427","100_50867","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852428","101_60067","0.5","y","y","y","y","y","y","y","y","y","y","n","y","Y","N","N","Y","Y","Y"
"852429","102_20057","0.5","y","y","y","y","y","y","y","y","y","y","y","y","Y","Y","N","Y","Y","Y"
"852430","103_50022","0.5","y","y","y","y","n","y","y","y","n","y","n","y","Y","N","N","Y","Y","Y"
"852431","104_50496","0.5","n","y","n","y","y","y","n","n","n","y","n","y","Y","N","N","Y","N","N"
"852432","105_50114","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852433","106_30216","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852434","107_30219","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852435","108_30165","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852436","109_30138","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852437","110_30196","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852438","111_50063","0.5","y","y","y","n","n","n","y","y","n","n","n","n","N","N","N","N","N","N"
"852439","112_30213","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852440","113_50536","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852441","114_30002","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852442","115_30160","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852443","116_20087","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852444","117_60050","0","y","y","y","y","n","y","y","y","y","y","n","y","N","N","N","N","N","N"
"852445","118_20015","0.5","y","y","y","y","y","y","y","y","y","y","y","y","Y","N","N","Y","Y","Y"
"852446","119_30047","0","n","n","n","n","n","n","n","y","n","n","n","y","N","N","N","N","N","N"
"852447","120_60043","0.5","n","y","y","y","y","y","y","y","y","y","y","y","Y","N","N","Y","Y","Y"
"852448","121_50095","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852449","122_60008","0.5","y","y","y","y","y","y","y","y","y","y","y","y","N","N","N","N","N","N"
"852450","123_20077","1","y","y","y","y","y","y","y","y","y","y","n","y","Y","N","N","Y","Y","Y"
"852451","124_30018","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852452","125_50014","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852453","126_30073","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852454","127_30076","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852455","128_30186","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852456","129_10101","0.5","y","y","y","y","y","y","y","y","y","y","y","y","Y","N","N","Y","N","Y"
"852457","130_50169","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852458","131_30010","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852459","132_60014","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852460","133_50021","0","n","n","y","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852461","134_50033","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852462","135_50538","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852463","136_30235","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852464","137_20024","0","y","y","y","y","y","y","y","y","y","y","y","y","Y","N","N","N","N","N"
"852465","138_30032","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852466","139_10035","0","y","y","y","y","n","y","y","n","y","y","n","n","Y","N","N","N","N","N"
"852467","140_50917","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852468","141_60066","0.5","y","y","y","y","y","y","y","y","y","y","y","y","N","N","N","Y","Y","Y"
"852469","142_30178","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852470","143_10154","0","y","y","y","y","y","y","y","y","y","n","y","y","Y","N","N","N","N","N"
"852471","144_50809","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852472","145_50085","0","n","n","y","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852473","146_50806","0","y","y","y","y","n","y","y","y","n","y","y","y","Y","N","N","N","N","N"
"852474","147_50043","0","y","y","y","y","y","y","y","y","y","y","n","y","Y","N","N","N","N","N"
"852475","148_50821","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852476","149_50910","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852477","150_50523","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852478","151_10078","0","y","y","y","y","y","y","y","y","y","n","y","y","Y","N","N","N","N","N"
"852479","152_50172","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852480","153_10151","0","n","y","y","y","y","y","y","n","y","y","n","y","Y","N","N","N","N","N"
"852481","154_10008","0.5","y","y","y","y","y","y","y","y","y","y","n","y","Y","Y","Y","Y","Y","Y"
"852482","155_60074","0.5","y","y","y","y","y","y","y","y","y","y","y","y","Y","N","N","Y","Y","Y"
"852483","156_30036","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852484","157_10096","0.5","y","y","y","y","y","y","y","y","y","y","y","y","N","N","N","N","N","N"
"852485","158_50822","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852486","159_10136","0","n","n","n","y","y","y","n","n","n","y","n","y","N","N","N","N","N","N"
"852487","160_60019","0","n","n","n","y","n","n","y","n","n","y","n","y","N","Y","N","N","N","N"
"852488","161_50873","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852489","162_20034","0.5","y","y","y","y","y","y","y","y","y","y","y","y","Y","Y","Y","Y","Y","Y"
"852490","163_30238","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852491","164_30037","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852492","165_10051","0","n","n","y","y","n","n","n","n","n","y","n","n","N","N","N","N","N","N"
"852493","166_10112","0","n","y","y","y","y","n","y","y","y","y","n","y","N","N","N","N","N","N"
"852494","167_50838","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852495","168_20035","0.5","y","y","y","y","y","y","y","y","y","y","n","y","Y","Y","N","Y","N","Y"
"852496","169_50091","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852497","170_10021","0","n","n","y","y","n","y","y","n","y","n","n","y","N","N","N","N","N","N"
"852498","171_30059","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852499","172_30030","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852500","173_50051","0.5","n","n","y","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852501","174_50525","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
